,Parameter Name,Latitude,Longitude,LU,Arithmetic Mean
141,PM2.5 - Local Conditions,34.10688,-117.27411000000001,"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Other urban or built-up land': 0.34, 'Cropland and pasture': 0.02}",0.010793805000000002
53,PM2.5 - Local Conditions,32.631231,-117.059075,"{'Commercial and Services': 0.18032786885245902, 'Residential': 0.4057377049180328, 'Transportation, communications and services': 0.4098360655737705, 'Transitional areas': 0.004098360655737705}",0.008735833
60,PM2.5 - Local Conditions,32.701492,-117.149653,"{'Commercial and Services': 0.0891089108910891, 'Residential': 0.12871287128712872, 'Industrial': 0.7326732673267327, 'Transportation, communications and services': 0.04950495049504951}",0.009548325
68,PM2.5 - Local Conditions,32.845467,-117.12389399999999,"{'Shrub-brushland rangeland': 0.7, 'Transportation, communications and services': 0.16, 'Mixed rangeland': 0.14}",0.0075893440000000005
72,PM2.5 - Local Conditions,32.845467,-117.12389399999999,"{'Shrub-brushland rangeland': 0.7, 'Transportation, communications and services': 0.16, 'Mixed rangeland': 0.14}",0.007736207
136,PM2.5 - Local Conditions,32.817978000000004,-116.96813300000001,"{'Commercial and Services': 0.09, 'Industrial': 0.52, 'Other urban or built-up land': 0.22, 'Transportation, communications and services': 0.17}",0.0075379999999999996
253,PM2.5 - Local Conditions,32.789561,-116.944222,"{'Commercial and Services': 0.08256880733944955, 'Residential': 0.9174311926605505}",0.009562903000000001
14,PM2.5 - Local Conditions,40.549985,-122.382011,"{'Commercial and Services': 0.62, 'Residential': 0.38}",0.00505
12,PM2.5 - Local Conditions,41.726892,-122.633579,"{'Commercial and Services': 0.25, 'Shrub-brushland rangeland': 0.48, 'Transportation, communications and services': 0.2, 'Herbaceous Rangeland': 0.07}",0.004936207
18,PM2.5 - Local Conditions,37.641583000000004,-120.99462199999999,"{'Commercial and Services': 0.78, 'Residential': 0.19, 'Industrial': 0.03}",0.008645161
12,PM2.5 - Local Conditions,39.138773,-121.618549,"{'Commercial and Services': 0.28, 'Residential': 0.47, 'Industrial': 0.25}",0.008118519000000001
62,PM2.5 - Local Conditions,36.332179,-119.291228,"{'Commercial and Services': 0.92, 'Residential': 0.08}",0.01470678
14,PM2.5 - Local Conditions,38.66121,-121.73268999999999,{'Cropland and pasture': 1.0},0.006316667
