Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial
PM2.5 - combined,[  38.84846 -122.75797],2.8302e-05,0.892857142857,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  33.901389 -118.205   ],7.603e-06,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.62,0.0,0,0,0.0,0,0,0,0.38,0,0.0
PM2.5 - combined,[  33.955    -118.056389],0.029035166,0.0,0.0,0.0,0.0,0,0,0,0.0,0.21,0.77,0.0,0,0,0.0,0,0,0,0.0,0,0.02
PM2.5 - combined,[  33.79236 -118.17533],0.005522651,0.0,0.0,0.0,0.0,0,0,0,0.0,0.12,0.35,0.0,0,0,0.0,0,0,0,0.53,0,0.0
PM2.5 - combined,[  33.9508  -118.43043],2.7063e-05,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.6,0,0,0.0,0,0,0,0.19,0,0.21
PM2.5 - combined,[  34.06659 -118.22688],5.136e-06,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0310880829016,0.518134715026,0,0,0.0,0,0,0,0.0,0,0.450777202073
PM2.5 - combined,[  34.006389 -118.193056],7.055e-06,0.0,0.0,0.0,0.0,0,0,0,0.0,0.16,0.0,0.12,0,0,0.0,0,0,0,0.0,0,0.72
PM2.5 - combined,[  34.008333 -118.190556],0.005939008,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.37,0,0,0.0,0,0,0,0.0,0,0.63
PM2.5 - combined,[  34.01194 -118.06995],0.005137417,0.0,0.0,0.0,0.0,0,0,0,0.0,0.16,0.03,0.0,0,0,0.0,0,0,0,0.81,0,0.0
PM2.5 - combined,[  34.813034 -118.884819],0.05603179,0.09,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.21,0,0,0.41,0,0,0,0.0,0,0.0
PM2.5 - combined,[  38.122979 -122.90944 ],0.023193279,0.31,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.69,0,0,0,0.0,0,0.0
PM2.5 - combined,[  37.71325 -119.7062 ],0.006693358,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  38.088023 -119.178069],0.008427373,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  39.81336 -120.47069],0.045862736,0.520833333333,0.0,0.0,0.0,0,0,0,0.0,0.0208333333333,0.0833333333333,0.0,0,0,0.0,0,0,0,0.375,0,0.0
PM2.5 - combined,[  33.99958 -117.41601],0.003098005,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0
