Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial,not_assigned
Suspended particulate (TSP),[ 34.433428 -86.940007],61.186441,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.03,0.04,0.0,0,0,0.14,0,0,0,0.79,0,0.0,0.0
Suspended particulate (TSP),[ 34.623425 -87.026677],56.840909,0.08,0.0,0.01,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.76,0,0,0,0.13,0,0.02,0.0
Suspended particulate (TSP),[ 34.585648 -87.078623],53.0,0.28,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.17,0.0,0,0,0.55,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 31.79056 -85.97917],47.824561,0.26,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.06,0.0,0,0,0.51,0,0,0,0.0,0,0.03,0.0
Suspended particulate (TSP),[ 32.472136 -85.005028],43.20339,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.166666666667,0.294117647059,0.0,0,0,0.0,0,0,0,0.519607843137,0,0.0,0.0
Suspended particulate (TSP),[ 33.109008 -86.753597],43.068966,0.602409638554,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.150602409639,0.0,0,0,0.0,0,0,0,0.204819277108,0,0.0421686746988,0.0
Suspended particulate (TSP),[ 33.27947  -86.349438],44.428571,0.01,0.0,0.0,0.0,0.0,0,0,0.13,0.0,0.16,0.0,0,0,0.47,0,0,0,0.23,0,0.0,0.0
Suspended particulate (TSP),[ 33.436775 -86.100527],49.509434,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.76,0.0,0,0,0.0,0,0,0,0.24,0,0.0,0.0
Suspended particulate (TSP),[ 32.930124 -85.941075],52.218182,0.740740740741,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0814814814815,0.0,0,0,0.0,0,0,0,0.177777777778,0,0.0,0.0
Suspended particulate (TSP),[ 33.217062 -87.538895],54.527273,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.99,0.0,0,0,0.01,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 33.837051 -87.277783],49.121951,0.418410041841,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.163179916318,0.0,0,0,0.0,0,0,0,0.418410041841,0,0.0,0.0
Suspended particulate (TSP),[  34.11303 -109.29344],172.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.17,0,0,0,0.83,0,0.0,0.0
Suspended particulate (TSP),[  34.4225 -109.15  ],80.0,0.0,0.507614213198,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[  31.410556 -109.876111],160.471698,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0291262135922,0.0,0,0,0.0,0,0,0,0.601941747573,0,0.0,0.0
Suspended particulate (TSP),[  31.365556 -109.583611],64.795918,0.0,0.00970873786408,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0291262135922,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[  31.374167 -109.734167],537.040816,0.0,0.67,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.16,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[  31.349733 -109.539695],44.1875,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.31,0.0,0,0,0.0,0,0,0,0.69,0,0.0,0.0
Suspended particulate (TSP),[  31.553333 -110.300278],56.414634,0.0,0.03,0.0,0.0,0.0,0,0,0.03,0.28,0.43,0.0,0,0,0.0,0,0,0,0.23,0,0.0,0.0
Suspended particulate (TSP),[  35.198889 -111.646111],41.45,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,0,0.0,0.0
