LU,Parameter Name,Site_keys,ppm
"{'Shrub-brushland rangeland': 0.42196531791907516, 'Evergreen forest land': 0.5780346820809249}",PM2.5 - combined,[  40.53999 -121.57646],0.012320218999999997
"{'Shrub-brushland rangeland': 0.7, 'Evergreen forest land': 0.3}",PM2.5 - combined,[  41.711825 -121.509993],0.033591824
"{'Commercial and Services': 0.78, 'Residential': 0.19, 'Industrial': 0.03}",PM2.5 - combined,[  37.641583 -120.994622],0.00245684
"{'Shrub-brushland rangeland': 0.3333333333333333, 'Evergreen forest land': 0.6666666666666666}",PM2.5 - combined,[  36.498835 -118.824821],0.00475896
"{'Commercial and Services': 0.92, 'Residential': 0.08}",PM2.5 - combined,[  36.332179 -119.291228],0.002756927
"{'Commercial and Services': 0.09174311926605505, 'Residential': 0.908256880733945}",PM2.5 - Local Conditions,[  44.299787 -120.844773],0.006423585
"{'Commercial and Services': 0.16666666666666666, 'Mixed urban or built-up land': 0.2222222222222222, 'Other urban or built-up land': 0.07407407407407407, 'Residential': 0.5370370370370371}",PM2.5 - Local Conditions,[  43.58925 -119.04872],0.006862711999999999
"{'Residential': 0.97, 'Orchards, groves, vineyards, nurseries..': 0.03}",PM2.5 - Local Conditions,[  42.31411 -122.87923],0.006808360500000001
"{'Residential': 0.92, 'Transportation, communications and services': 0.08}",PM2.5 - Local Conditions,[  42.434139 -123.348466],0.005863934
"{'Commercial and Services': 0.07964601769911504, 'Residential': 0.8849557522123894, 'Other urban or built-up land': 0.035398230088495575}",PM2.5 - Local Conditions,[  42.190296 -121.731369],0.008142373
"{'Commercial and Services': 0.18, 'Residential': 0.46, 'Industrial': 0.08, 'Cropland and pasture': 0.02, 'Transitional areas': 0.26}",PM2.5 - Local Conditions,[  42.189215 -120.353969],0.006687603
"{'Commercial and Services': 0.37, 'Residential': 0.56, 'Industrial': 0.07}",PM2.5 - Local Conditions,[  44.067224 -123.141352],0.005800825999999999
"{'Commercial and Services': 0.1, 'Residential': 0.61, 'Other urban or built-up land': 0.29}",PM2.5 - Local Conditions,[  44.026312 -123.083737],0.005478437500000001
"{'Residential': 0.22, 'Industrial': 0.75, 'Reservoirs': 0.03}",PM2.5 - Local Conditions,[  44.046696 -123.017704],0.004706897000000001
"{'Commercial and Services': 0.14507772020725387, 'Residential': 0.30569948186528495, 'Forested wetland': 0.031088082901554404, 'Evergreen forest land': 0.5181347150259067}",PM2.5 - Local Conditions,[  43.744352 -122.480487],0.005701667
"{'Commercial and Services': 0.33, 'Residential': 0.67}",PM2.5 - Local Conditions,[  43.799501 -123.053487],0.006800862
{'Residential': 1.0},PM2.5 - Local Conditions,[  45.496641 -122.602877],0.006236752
"{'Commercial and Services': 0.1893939393939394, 'Residential': 0.7575757575757576, 'Other urban or built-up land': 0.05303030303030303}",PM2.5 - Local Conditions,[  45.528501 -122.972398],0.005627048999999999
"{'Commercial and Services': 0.24, 'Residential': 0.28, 'Industrial': 0.35, 'Other urban or built-up land': 0.04, 'Transportation, communications and services': 0.09}",PM2.5 - Local Conditions,[  45.393497 -122.747894],0.005961667
{'Evergreen forest land': 1.0},PM2.5 - combined,[  45.28845  -121.782775],0.0038585179999999996
"{'Commercial and Services': 0.09174311926605505, 'Residential': 0.908256880733945}",PM2.5 - combined,[  44.299787 -120.844773],0.002380737
