,Site,Cropland,Golf Course,Saltwater Sandy Beach,cemetary,commercial,crop_land,forest,high_density_residential,industrial,low_density_residential,marina,medium_density_residential,mining,open_land,recreational,transitional,transportation,urban_public/institutional,waste,water,wetland
56,"[(-71.173748400000008, 42.29402374), (-71.169044800000009, 42.29402374), (-71.169044800000009, 42.296606480000001), (-71.173748400000008, 42.296606480000001)]",0.0,0.0,0.0,0.49,0.0,0.0,0.32,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.02
57,"[(-71.169044800000009, 42.29402374), (-71.16434120000001, 42.29402374), (-71.16434120000001, 42.296606480000001), (-71.169044800000009, 42.296606480000001)]",0.0,0.0,0.0,0.26,0.0,0.0,0.44,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
58,"[(-71.16434120000001, 42.29402374), (-71.159637599999996, 42.29402374), (-71.159637599999996, 42.296606480000001), (-71.16434120000001, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
59,"[(-71.159637599999996, 42.29402374), (-71.154933999999997, 42.29402374), (-71.154933999999997, 42.296606480000001), (-71.159637599999996, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.29,0.0,0.06,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
60,"[(-71.154933999999997, 42.29402374), (-71.150230399999998, 42.29402374), (-71.150230399999998, 42.296606480000001), (-71.154933999999997, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
61,"[(-71.150230399999998, 42.29402374), (-71.145526799999999, 42.29402374), (-71.145526799999999, 42.296606480000001), (-71.150230399999998, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.88,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,"[(-71.145526799999999, 42.29402374), (-71.1408232, 42.29402374), (-71.1408232, 42.296606480000001), (-71.145526799999999, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,"[(-71.1408232, 42.29402374), (-71.136119600000001, 42.29402374), (-71.136119600000001, 42.296606480000001), (-71.1408232, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.05,0.0,0.22,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,"[(-71.136119600000001, 42.29402374), (-71.131416000000002, 42.29402374), (-71.131416000000002, 42.296606480000001), (-71.136119600000001, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.01,0.0,0.17,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.04
65,"[(-71.131416000000002, 42.29402374), (-71.126712400000002, 42.29402374), (-71.126712400000002, 42.296606480000001), (-71.131416000000002, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.09,0.0,0.0,0.0
66,"[(-71.126712400000002, 42.29402374), (-71.122008800000003, 42.29402374), (-71.122008800000003, 42.296606480000001), (-71.126712400000002, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.02,0.0,0.0,0.0,0.0
