,Routes,Speed at 19-06-17 21,Travel Time at 19-06-17 21,Speed at 19-06-17  22,Travel Time at 19-06-17  22,Speed at 19-06-17  23,Travel Time at 19-06-17  23
217,3016 - G-137 - 90EB-TTS-104.6 to 3010 - R-19 - 90WB-TTR-106.1,Greater than 50 mph,1 min 13 sec,Greater than 50 mph,1 min 13 sec,Greater than 50 mph,1 min 13 sec
218,3014 - R-55 - 93SB-TTR-40.6 to 3233 - R-38 - 93SB-TTR-45.7,Between 30 and 40 mph,12 min 34 sec,Between 30 and 40 mph,12 min 34 sec,Between 30 and 40 mph,12 min 34 sec
219,3014 - R-55 - 93SB-TTR-40.6 to 3172 - R-59 - 93NB-TTR-37.5,Greater than 50 mph,2 min 50 sec,Greater than 50 mph,2 min 50 sec,Greater than 50 mph,2 min 50 sec
220,3010 - R-19 - 90WB-TTR-106.1 to 3268 - G-22 - 90EB-TTS-110.7,Greater than 50 mph,4 min 0 sec,Greater than 50 mph,4 min 0 sec,Greater than 50 mph,4 min 0 sec
221,3010 - R-19 - 90WB-TTR-106.1 to 3016 - G-137 - 90EB-TTS-104.6,Greater than 50 mph,1 min 31 sec,Greater than 50 mph,1 min 31 sec,Greater than 50 mph,1 min 31 sec
222,3008 - R-58 - 93NB-TTR-34.5 to 3231 - G-38 - 93NB-TTS-32.1,Greater than 50 mph,2 min 3 sec,Greater than 50 mph,2 min 3 sec,Greater than 50 mph,2 min 3 sec
223,3008 - R-58 - 93NB-TTR-34.5 to 3124 - G-36 - 93SB-TTS-36.1,Between 30 and 40 mph,3 min 36 sec,Between 30 and 40 mph,3 min 36 sec,Between 30 and 40 mph,3 min 36 sec
224,3006 - R-98 - 90EB-TTR-130.7 to 3350 - R-99 - 90EB-TTR-134.2,Between 30 and 40 mph,7 min 13 sec,Between 30 and 40 mph,7 min 13 sec,Between 30 and 40 mph,7 min 13 sec
225,3006 - R-98 - 90EB-TTR-130.7 to 3285 - G-112 - 90WB-TTS-127.7,Between 30 and 40 mph,9 min 21 sec,Between 30 and 40 mph,9 min 21 sec,Between 30 and 40 mph,9 min 21 sec
226,3005 - R-116 - 93NB-TTR-6.9 to 3311 - R-103 - 93SB-TTR-7.6,Greater than 50 mph,0 min 46 sec,Greater than 50 mph,0 min 46 sec,Greater than 50 mph,0 min 46 sec
227, to Woods Hole,Greater than 50 mph,10 min 41 sec,Greater than 50 mph,10 min 41 sec,Greater than 50 mph,10 min 41 sec
228, to Rt. 6 WB before Exit 6 to I-132 in West Barnstable,Greater than 50 mph,7 min 27 sec,Greater than 50 mph,7 min 27 sec,Greater than 50 mph,7 min 27 sec
229, to Rt. 6 WB at Bourne Bridge Approach in Bourne -Replacement,No Info,NA,No Info,NA,No Info,NA
230, to Rt. 6 WB after Orleans Rotary in Orleans,Greater than 50 mph,15 min 31 sec,Greater than 50 mph,15 min 31 sec,Greater than 50 mph,15 min 31 sec
231, to Rt. 28 SB at Rt. 151 in Falmouth,Greater than 50 mph,4 min 18 sec,Greater than 50 mph,4 min 18 sec,Greater than 50 mph,4 min 18 sec
